""
"1","astar"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numEntradasTotales","4999985","5000220","5000429","5001372","5000049","5000222","5003869","5005946","5000878"
"numEntradasActuales","262144","262144","262144","262144","262144","262144","262144","262144","262144"
"numReemplazos","4737841","4738076","4738285","4739228","4737905","4738078","4741725","4743802","4738734"
"porcentajePrebuscado","0","99.8934","99.9039","99.9178","99.8612","99.8934","99.9529","99.9619","99.9063"
"porcentajeDesperdicio","0","0.0047","0.0088","0.0279","0.0012","0.0048","0.0777","0.1193","0.0177"
"porcentajeExito","3e-04","99.8934","99.9039","99.9178","99.8612","99.8934","99.9528","99.9618","99.9063"
"porcentajeAciertosPorPrebusqueda","0","99.9999","99.9999","99.9999","99.9999","99.9999","99.9999","99.9999","99.9999"
"porcentajePrebusquedasUtiles","NaN","99.9953","99.9912","99.9721","99.9988","99.9952","99.9222","99.8807","99.9823"
"1",""
"1","specrand"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","3508","3508","3508","3508","3508","3508","3508","3508","3508"
"porcentajeReconocido.0","49.3444","43.358","43.358","56.0718","43.358","43.358","68.358","0","49.3444"
"numEntradasTotales","3504","3512","3544","4776","3507","3512","6780","6803","3845"
"numEntradasActuales","3504","3512","3544","4776","3507","3512","6780","6740","3845"
"numReemplazos","0","0","0","0","0","0","0","63","0"
"porcentajePrebuscado","0","31.9761","34.7912","60.134","18.6199","31.9761","78.9233","79.5678","44.6294"
"porcentajeDesperdicio","0","0.2278","1.1287","26.6332","0.0855","0.2278","48.3186","48.4933","8.8687"
"porcentajeExito","0.114","31.8985","34.122","45.7241","18.6431","31.8985","59.2645","60.3763","39.3101"
"porcentajeAciertosPorPrebusqueda","0","99.6425","99.6658","99.7506","99.3884","99.6425","99.8076","99.8111","99.7099"
"porcentajePrebusquedasUtiles","NaN","99.2876","96.7559","55.7103","99.5406","99.2876","38.7778","39.0541","80.1282"
"1",""
"1","sphinx3"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","634724","634724","634724","634724","634724","634724","634724","634724","634724"
"porcentajeReconocido.0","93.4256","88.3181","88.3181","90.3873","89.6576","88.3181","93.8547","0","93.4256"
"numEntradasTotales","634040","640071","645332","639184","634236","639991","664234","777085","643302"
"numEntradasActuales","262144","262144","262144","262144","262144","262144","262144","262144","262144"
"numReemplazos","371896","377927","383188","377040","372092","377847","402090","514941","381158"
"porcentajePrebuscado","0","82.426","83.1166","84.6931","80.6645","82.4338","90.5717","91.1575","90.6793"
"porcentajeDesperdicio","0","0.9318","1.7481","0.8065","0.0271","0.9303","4.5698","18.4154","1.4096"
"porcentajeExito","0.1078","82.278","82.8344","84.5856","80.6793","82.288","90.1333","89.1742","90.5534"
"porcentajeAciertosPorPrebusqueda","0","99.9611","99.9606","99.9659","99.9598","99.9611","99.9769","99.967","99.9864"
"porcentajePrebusquedasUtiles","NaN","98.8696","97.8968","99.0477","99.9664","98.8714","94.9545","79.7983","98.4455"
"1",""
"1","Xalan"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","2500000","2500000","2500000","2500000","2500000","2500000","2500000","2500000","2500000"
"porcentajeReconocido.0","0","67.0547","67.0547","70.2462","67.5293","67.0547","75.148","0","75.3037"
"numEntradasTotales","2443201","2524912","2535816","2647413","2481300","2525121","3365526","3153488","10921829"
"numEntradasActuales","262144","262144","262144","262144","262144","262144","262144","262144","262144"
"numReemplazos","2181057","2262768","2273672","2385269","2219156","2262977","3103382","2891344","10659685"
"porcentajePrebuscado","0","62.7389","63.1002","68.7161","57.1038","62.7488","80.0628","82.9531","91.8352"
"porcentajeDesperdicio","0","3.1097","3.4941","7.4506","1.4819","3.12","26.6512","21.9069","77.3471"
"porcentajeExito","2.272","62.3676","62.5715","66.8714","57.4246","62.3744","73.1603","78.4971","64.3303"
"porcentajeAciertosPorPrebusqueda","0","97.5512","97.6032","98.0058","97.0761","97.5427","99.0858","99.1706","99.0054"
"porcentajePrebusquedasUtiles","NaN","95.0435","94.4626","89.1575","97.4049","95.0278","66.7122","73.5912","15.7762"
"1",""
